,Year,mt_CO2_global,kg_CO2_global,pc_CO2_average
0,1960,11064.131248000002,3920.0,13.719936977740703
1,1961,11061.885846000001,3922.0,13.804837347137395
2,1962,11385.687955999998,3924.0,13.838856227388398
3,1963,11923.171792,3926.0,14.295205644780248
4,1964,12430.081615000001,3928.0,14.307196147744962
5,1965,12921.535815,3930.0,14.340536506342627
6,1966,13420.870930000001,3932.0,14.30520183583673
7,1967,13774.912094,3934.0,14.508390807902423
8,1968,14419.554844000002,3936.0,14.637908692359058
9,1969,15257.565529,3938.0,15.346885489298522
10,1970,16368.264721000003,3940.0,15.629357803585899
11,1971,16943.679658,4059.124076845984,15.70661853039136
12,1972,17625.099832,4058.026996033405,15.708106455875898
13,1973,18458.330635,4062.609672732956,16.092653286618273
14,1974,18423.531224000002,4056.0397756922216,15.720078845034692
15,1975,18443.503208000002,4050.735422329665,15.407030455750727
16,1976,19346.8424,4069.7752485472147,16.03778097642774
17,1977,19829.121388,4054.4046842399175,15.607470941145424
18,1978,20499.274033,4053.8205124327674,15.58454808042445
19,1979,21001.904552,4055.9613905130436,15.653046702797361
20,1980,20928.866204000005,4054.845970333955,15.560998401738846
21,1981,20439.839033999997,4053.4009976720886,14.956098866535099
22,1982,20341.079621999997,4056.92650188473,14.889520411691585
23,1983,20530.671032000002,4050.3006700624533,14.484300518049192
24,1984,21080.674356,4062.0193820094173,15.006519451825469
25,1985,21768.494488,4068.839102163898,15.250023961034533
26,1986,22035.509135999997,4054.344035696734,14.603545461963343
27,1987,22739.156532,4056.015335475891,14.639603657702535
28,1988,23536.523416,4057.716956804877,14.797979573242035
29,1989,23866.218532000003,4062.9614962965093,15.035767887268394
30,1990,24198.908574,4103.139769418545,14.699546073435867
31,1991,24196.347148,4103.261671116788,14.475375014958248
32,1992,23956.117154,4108.375724725716,14.262451742554429
33,1993,24188.324312,4108.37309697725,14.377968937347214
34,1994,24323.97943,4104.97296155859,14.268335548879504
35,1995,24797.81289,4104.72941759693,14.247208032118499
36,1996,25448.406398,4104.988453351514,14.256180299234929
37,1997,25539.068079999997,4102.464748882353,14.29002367210572
38,1998,25427.461771000002,4097.985959000482,14.096399281749198
39,1999,25717.188883000003,4097.707504051587,14.13519182779386
40,2000,26395.613266,4101.278243818295,14.455950208383262
41,2001,26625.242653999998,4101.834881687417,14.452858266898804
42,2002,27163.095354000005,4101.707398996821,14.393137265605349
43,2003,28394.111166,4104.532781224726,14.517953451773074
44,2004,29606.071164,4103.822580722422,14.58078951303039
45,2005,30522.786476,4103.532698766217,14.620587880640016
46,2006,31455.525128,4102.908116647436,14.688633485323155
47,2007,32315.51367,4102.538433758281,14.759011333261235
48,2008,33010.28694800001,4103.0471246153875,14.731976416489108
49,2009,32597.929848,4103.224362909708,14.493429629680598
50,2010,34147.251873999994,4104.1430013599065,14.538243199399053
51,2011,35303.078244000004,4106.576882837026,14.506416857391406
52,2012,35813.827992000006,4110.391803278147,14.492322808078022
53,2013,35924.967904000005,4109.7510915254925,14.399669625183593
54,2014,36225.855901999996,4111.225212954663,14.418706974116821
55,2015,36188.969071,4113.757475994087,14.505735996674684
56,2016,36307.427123,4105.643889024461,14.527607963767384
57,2017,36757.497208,4106.591384729771,14.585424594391172
